Fiscal_Year,Amount
2020,-1500
2020,-24667000
2020,-1450000
2020,-3700000
2020,24667000
2020,31500
2020,15000
2020,3500
2020,8900
2020,20800
2020,46500
2020,473700
2020,184900
2020,3000
2020,65600
2020,100
2020,-500000
2020,-1000000
2020,-1000000
2020,-3500000
2020,382800
2020,250300
2020,948400
2020,1124000
2020,247900
2020,156000
2020,183900
2020,-10000000
2020,401600
2020,1624700
2020,2309500
2020,27462000
2020,11921500
2020,5062700
2020,3005000
2020,1157400
2020,300000
2020,581500
2020,124200
2020,191100
2020,2152800
2020,16971100
2020,7053500
2020,3470500
2020,100000
2020,15000
2020,1200
2020,45000
2020,160000
2020,150000
2020,50000
2020,0
2020,0
2020,0
2020,0
2020,0
2020,-1000000
2020,-1850900
2020,-450000
2020,-50000
2020,-15000
2020,0
2020,-3000
2020,-170000
2020,-2211900
2020,-608000
2020,-130000
2020,-308100
2020,-12500
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,1806500
2020,1000
2020,5300
2020,45000
2020,50000
2020,20000
2020,10000
2020,51500
2020,1442700
2020,149000
2020,35200
2020,440000
2020,110200
2020,1000
2020,60000
2020,0
2020,0
2020,0
2020,74800
2020,61900
2020,0
2020,0
2020,0
2020,0
2020,0
2020,182000
2020,0
2020,141300
2020,0
2020,0
2020,0
2020,0
2020,0
2020,888300
2020,0
2020,458000
2020,0
2020,0
2020,0
2020,0
2020,0
2020,146900
2020,0
2020,0
2020,0
2020,0
2020,-1736100
2020,-504700
2020,-1012600
2020,0
2020,7358400
2020,-1995500
2020,186700
2020,5962300
2020,0
2020,876500
2020,0
2020,47900
2020,-3625400
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,1624300
2020,874600
2020,0
2020,0
2020,0
2020,1083800
2020,0
2020,0
2020,1100
2020,0
2020,2600
2020,0
2020,3900
2020,0
2020,0
2020,0
2020,0
2020,0
2020,50200
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,52400
2020,0
2020,7700
2020,4400
2020,0
2020,0
2020,18900
2020,10400
2020,0
2020,10000
2020,1500
2020,500
2020,200
2020,0
2020,4300
2020,4700
2020,36600
2020,0
2020,9900
2020,378200
2020,250900
2020,159500
2020,575000
2020,187900
2020,0
2020,3500
2020,25300
2020,1100
2020,0
2020,28300
2020,0
2020,22800
2020,3900
2020,900
2020,0
2020,0
2020,7600
2020,300
2020,1600
2020,210000
2020,85000
2020,15000
2020,100000
2020,0
2020,8000
2020,0
2020,641600
2020,43000
2020,86000
2020,158000
2020,86100
2020,500000
2020,1975000
2020,104100
2020,117900
2020,6570800
2020,4158500
2020,91800
2020,0
2020,0
2020,184700
2020,4000
