REPORT_YEAR,COUNT_,COUNT_CLEARED
2022,79,0
2023,1,0
2021,1,0
2020,2,0
2023,3,0
2022,2,0
2021,1,0
2021,2,0
2023,2,0
2022,5,0
2021,16,0
2020,3,0
2023,2,0
2023,5,0
2021,21,0
2023,2,0
2022,3,0
2020,1,0
2023,2,0
2020,15,0
2021,3,0
2021,1,0
2022,5,0
2021,61,0
2022,1,0
2022,9,0
2022,4,0
2022,1,0
2021,1,0
2020,12,0
2021,3,0
2021,2,0
2021,2,0
2021,3,0
2020,7,0
2021,1,0
2023,1,0
2020,4,0
2021,10,0
2020,1,0
2023,2,0
2020,2,0
2020,1,0
2023,1,0
2020,2,0
2022,3,0
2022,1,0
2020,2,0
2020,1,0
2022,1,0
2021,2,0
2020,3,0
2021,2,0
2023,1,0
2023,4,0
2021,1,0
2022,1,0
2022,1,0
2022,2,0
2023,2,0
2021,3,0
2020,2,0
2021,1,0
2020,3,0
2021,18,0
2020,1,0
2023,2,0
2021,1,0
2020,6,0
2020,1,0
2023,2,0
2021,30,0
2022,1,0
2020,10,0
2023,2,0
2022,4,0
2021,2,0
2022,27,0
2021,1,0
2022,6,0
2022,1,0
2021,8,0
2022,1,0
2021,1,0
2022,1,0
2020,1,0
2023,2,0
2023,9,0
2023,27,0
2022,1,0
2021,5,0
2021,1,0
2022,25,0
2020,1,0
2020,4,0
2020,2,0
2021,3,0
2023,9,0
2020,1,0
2022,1,0
2021,3,0
2020,6,0
2020,1,0
2020,1,0
2023,1,0
2023,4,0
2022,1,0
2022,1,0
2021,7,0
2020,3,0
2020,2,0
2020,2,0
2021,3,0
2021,1,0
2021,1,0
2021,15,0
2021,4,0
2021,1,0
2020,2,0
2022,4,0
2023,7,0
2023,10,0
2022,1,0
2023,1,0
2020,2,0
2021,2,0
2022,2,0
2020,1,0
2021,1,0
2023,2,0
2023,45,0
2020,4,0
2021,1,0
2022,12,0
2021,5,0
2020,1,0
2022,43,0
2020,1,0
2021,1,0
2022,1,0
2020,4,0
2020,3,0
2021,11,0
2023,24,0
2021,3,0
2020,2,0
2022,13,0
2023,1,0
2021,1,0
2021,85,0
2021,1,0
2022,20,0
2022,1,0
2023,1,0
2021,1,0
2021,6,0
2022,2,0
2020,1,0
2023,13,0
2021,4,0
2020,29,0
2023,32,0
2021,23,0
2022,2,0
2020,2,0
2023,1,0
2020,1,0
2021,17,0
2021,1,0
2021,14,0
2023,7,0
2020,4,0
2021,2,0
2023,1,0
2020,10,0
2022,3,0
2022,1,0
2021,2,0
2022,11,0
2021,1,0
2021,2,0
2023,2,0
2022,2,0
2023,1,0
2020,4,0
2020,1,0
2022,7,0
2021,8,0
2020,1,0
2022,1,0
2021,1,0
2022,1,0
2022,41,0
2020,2,0
2023,1,0
2021,15,0
2022,4,0
2023,5,0
2021,10,0
2022,19,0
2021,5,0
2020,1,0
2021,1,0
2022,4,0
2023,2,0
2023,8,0
2023,1,0
2023,37,0
2023,3,0
2020,3,0
2021,2,0
2023,1,0
2023,5,0
2022,2,0
2021,1,0
2022,4,0
2022,12,0
2023,3,0
2020,12,0
2022,4,0
2023,2,0
2023,1,0
2023,1,0
2020,25,0
2021,2,0
2022,11,0
2022,2,0
2020,7,0
2023,1,0
2022,7,0
2020,10,0
2021,30,0
2022,1,0
2023,7,0
2022,4,0
2021,10,0
2021,2,0
2022,6,0
2022,21,0
2020,4,0
2023,20,0
2022,3,0
2023,1,0
2022,9,0
2021,1,0
2022,2,0
2020,3,0
2020,19,0
2022,1,0
2021,1,0
2023,2,0
2022,1,0
2023,28,0
2022,4,0
2023,30,0
2020,11,0
2022,1,0
2023,10,0
2021,19,0
2022,7,0
2021,1,0
2020,3,0
2023,4,0
2022,1,0
2023,12,0
2021,2,0
2023,4,0
2020,6,0
2022,1,0
2022,5,0
2021,4,0
2022,1,0
2023,1,0
2020,1,0
2021,1,0
2022,2,0
2022,7,0
2023,3,0
2020,9,0
2022,3,0
2020,2,0
2022,1,0
2021,1,0
2023,4,0
2022,2,0
2022,2,0
2020,2,0
2023,25,0
2022,4,0
2021,2,0
2023,6,0
2021,4,0
2023,2,0
2021,2,0
2021,5,0
2023,8,0
2023,1,0
2020,1,0
2020,1,0
2022,2,0
2020,1,0
2023,8,0
2020,1,0
2021,1,0
2022,90,0
2021,1,0
2022,15,0
2021,2,0
2022,13,0
2020,2,0
2020,4,0
2021,10,0
2020,2,0
2023,2,0
2020,1,0
2022,2,0
2022,5,0
2020,3,0
2022,1,0
2022,2,0
2020,1,0
2022,1,0
2020,2,0
2022,6,0
2023,1,0
2020,1,0
2021,8,0
2020,4,0
2021,6,0
2022,1,0
2022,1,0
2022,5,0
2021,2,0
2023,1,0
2020,1,0
2021,2,0
2022,39,0
2023,2,0
2023,2,0
2020,8,0
2023,64,0
2023,2,0
2020,4,0
2022,1,0
2021,9,0
2023,1,0
2020,3,0
2023,2,0
2022,5,0
2023,1,0
2021,4,0
2022,1,0
2023,4,0
2022,6,0
2020,5,0
2023,2,0
2022,1,0
2022,2,0
2020,1,0
2020,1,0
2023,3,0
2023,6,0
2023,13,0
2023,93,0
2021,1,0
2021,3,0
2022,16,0
2020,63,0
2022,2,0
2021,13,0
2020,2,0
2020,4,0
2023,1,0
2021,1,0
2022,6,0
2022,2,0
2022,1,0
2022,3,0
2023,2,0
2023,20,0
2021,5,0
2023,1,0
2022,2,0
2023,17,0
2022,1,0
2021,1,0
2021,1,0
2020,1,0
2021,1,0
2023,1,0
2020,8,0
2020,3,0
2020,2,0
2023,27,0
2022,1,0
2022,23,0
2022,7,0
2022,1,0
2022,2,0
2021,1,0
2022,25,0
2021,29,0
2023,2,0
2021,1,0
2022,1,0
2023,5,0
2023,25,0
2022,1,0
2022,6,0
2021,1,0
2021,4,0
2020,1,0
2022,1,0
